Style Code,Sub-Style Code,AgeGroup,ColorMap,CountryofOrigin,DetailImage,DropshipListingTitle,Gender,Keywords,MarketplaceItemName,WebsiteLongDescription,WebsiteProductLandingPage,WebsiteProductTitle,WebsiteShortDescription,Custom Label 0,Custom Label 1,Custom Label 2,Custom Label 3,Custom Label 4,Key Features 1,Key Features 2,Key Features 3,Key Features 4,Key Features 5,Meta Description,Meta Keywords,Meta Title,Dropship Description,Dropship Short Description,Product Long Description,Product Short Description,California Prop 65 Warning Text,Color Selection,Contained Battery Type,Contains Chemical or Aerosol or Pesticide,Contains Electronic Component,Line Sheet Price,Line Sheet Product Description,Line Sheet Product Name,Line Sheet Season,Size Range
ADELINE-03,ADELINE-03-BROWN,Adult,Brown,,ADELINE-03-BROWN.jpg,Brown Footwear,Women,"footwear, brown, shoes, fashion",Brown Footwear | Fashion Collection,The brown footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/brown-footwear,Brown Footwear | Fashion Collection,Brown Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Visible color: Brown,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The brown footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be,"footwear, brown, shoes, fashion",Brown Footwear | Fashion Collection,The brown footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Brown Footwear designed for everyday wear with a modern fashion-forward look.,The brown footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Brown Footwear designed for everyday wear with a modern fashion-forward look.,,Brown,,,,,Brown Footwear designed for everyday wear with a modern fashion-forward look.,Brown Footwear,,
ADELINE-03,ADELINE-03-GOLD,Adult,,,ADELINE-03-GOLD.jpg,Footwear,Women,"footwear, shoes, fashion",Footwear | Fashion Collection,The footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/footwear,Footwear | Fashion Collection,Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Color visible in image,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refin,"footwear, shoes, fashion",Footwear | Fashion Collection,The footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Footwear designed for everyday wear with a modern fashion-forward look.,The footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,,Footwear designed for everyday wear with a modern fashion-forward look.,Footwear,,
ADELINE-03,ADELINE-03-TAUPE,Adult,Taupe,,ADELINE-03-TAUPE.jpg,Taupe Footwear,Women,"footwear, taupe, shoes, fashion",Taupe Footwear | Fashion Collection,The taupe footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/taupe-footwear,Taupe Footwear | Fashion Collection,Taupe Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Visible color: Taupe,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The taupe footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be,"footwear, taupe, shoes, fashion",Taupe Footwear | Fashion Collection,The taupe footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Taupe Footwear designed for everyday wear with a modern fashion-forward look.,The taupe footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Taupe Footwear designed for everyday wear with a modern fashion-forward look.,,Taupe,,,,,Taupe Footwear designed for everyday wear with a modern fashion-forward look.,Taupe Footwear,,
ASTRID-01,ASTRID-01-BLACK,Adult,Black,,ASTRID-01-BLACK.jpg,Black Footwear,Women,"footwear, black, shoes, fashion",Black Footwear | Fashion Collection,The black footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/black-footwear,Black Footwear | Fashion Collection,Black Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Visible color: Black,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The black footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be,"footwear, black, shoes, fashion",Black Footwear | Fashion Collection,The black footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Black Footwear designed for everyday wear with a modern fashion-forward look.,The black footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Black Footwear designed for everyday wear with a modern fashion-forward look.,,Black,,,,,Black Footwear designed for everyday wear with a modern fashion-forward look.,Black Footwear,,
ASTRID-01,ASTRID-01-BLUSH,Adult,Blush,,ASTRID-01-BLUSH.jpg,Blush Footwear,Women,"footwear, blush, shoes, fashion",Blush Footwear | Fashion Collection,The blush footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/blush-footwear,Blush Footwear | Fashion Collection,Blush Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Visible color: Blush,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The blush footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be,"footwear, blush, shoes, fashion",Blush Footwear | Fashion Collection,The blush footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Blush Footwear designed for everyday wear with a modern fashion-forward look.,The blush footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Blush Footwear designed for everyday wear with a modern fashion-forward look.,,Blush,,,,,Blush Footwear designed for everyday wear with a modern fashion-forward look.,Blush Footwear,,
ASTRID-01,ASTRID-01-GREY,Adult,Grey,,ASTRID-01-GREY.jpg,Grey Footwear,Women,"footwear, grey, shoes, fashion",Grey Footwear | Fashion Collection,The grey footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/grey-footwear,Grey Footwear | Fashion Collection,Grey Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Visible color: Grey,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The grey footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be ,"footwear, grey, shoes, fashion",Grey Footwear | Fashion Collection,The grey footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Grey Footwear designed for everyday wear with a modern fashion-forward look.,The grey footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Grey Footwear designed for everyday wear with a modern fashion-forward look.,,Grey,,,,,Grey Footwear designed for everyday wear with a modern fashion-forward look.,Grey Footwear,,
ASTRID-01,ASTRID-01-NUDE,Adult,Nude,,ASTRID-01-NUDE.jpg,Nude Footwear,Women,"footwear, nude, shoes, fashion",Nude Footwear | Fashion Collection,The nude footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/nude-footwear,Nude Footwear | Fashion Collection,Nude Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Visible color: Nude,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The nude footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be ,"footwear, nude, shoes, fashion",Nude Footwear | Fashion Collection,The nude footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Nude Footwear designed for everyday wear with a modern fashion-forward look.,The nude footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Nude Footwear designed for everyday wear with a modern fashion-forward look.,,Nude,,,,,Nude Footwear designed for everyday wear with a modern fashion-forward look.,Nude Footwear,,
AUSTIN-06,AUSTIN-06-BLACK,Adult,Black,,AUSTIN-06-BLACK.jpg,Black Footwear,Women,"footwear, black, shoes, fashion",Black Footwear | Fashion Collection,The black footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/black-footwear,Black Footwear | Fashion Collection,Black Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Visible color: Black,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The black footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be,"footwear, black, shoes, fashion",Black Footwear | Fashion Collection,The black footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Black Footwear designed for everyday wear with a modern fashion-forward look.,The black footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Black Footwear designed for everyday wear with a modern fashion-forward look.,,Black,,,,,Black Footwear designed for everyday wear with a modern fashion-forward look.,Black Footwear,,
AUSTIN-06,AUSTIN-06-BLUSH,Adult,Blush,,AUSTIN-06-BLUSH.jpg,Blush Footwear,Women,"footwear, blush, shoes, fashion",Blush Footwear | Fashion Collection,The blush footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/blush-footwear,Blush Footwear | Fashion Collection,Blush Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Visible color: Blush,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The blush footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be,"footwear, blush, shoes, fashion",Blush Footwear | Fashion Collection,The blush footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Blush Footwear designed for everyday wear with a modern fashion-forward look.,The blush footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Blush Footwear designed for everyday wear with a modern fashion-forward look.,,Blush,,,,,Blush Footwear designed for everyday wear with a modern fashion-forward look.,Blush Footwear,,
AUSTIN-06,AUSTIN-06-CAMEL,Adult,Camel,,AUSTIN-06-CAMEL.jpg,Camel Footwear,Women,"footwear, camel, shoes, fashion",Camel Footwear | Fashion Collection,The camel footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/camel-footwear,Camel Footwear | Fashion Collection,Camel Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Visible color: Camel,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The camel footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be,"footwear, camel, shoes, fashion",Camel Footwear | Fashion Collection,The camel footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Camel Footwear designed for everyday wear with a modern fashion-forward look.,The camel footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Camel Footwear designed for everyday wear with a modern fashion-forward look.,,Camel,,,,,Camel Footwear designed for everyday wear with a modern fashion-forward look.,Camel Footwear,,
AUSTIN-06,AUSTIN-06-NUDE,Adult,Nude,,AUSTIN-06-NUDE.jpg,Nude Footwear,Women,"footwear, nude, shoes, fashion",Nude Footwear | Fashion Collection,The nude footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/nude-footwear,Nude Footwear | Fashion Collection,Nude Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Visible color: Nude,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The nude footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be ,"footwear, nude, shoes, fashion",Nude Footwear | Fashion Collection,The nude footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Nude Footwear designed for everyday wear with a modern fashion-forward look.,The nude footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Nude Footwear designed for everyday wear with a modern fashion-forward look.,,Nude,,,,,Nude Footwear designed for everyday wear with a modern fashion-forward look.,Nude Footwear,,
AUSTIN-06,AUSTIN-06-WHITE,Adult,White,,AUSTIN-06-WHITE.jpg,White Footwear,Women,"footwear, white, shoes, fashion",White Footwear | Fashion Collection,The white footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/white-footwear,White Footwear | Fashion Collection,White Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Visible color: White,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The white footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be,"footwear, white, shoes, fashion",White Footwear | Fashion Collection,The white footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,White Footwear designed for everyday wear with a modern fashion-forward look.,The white footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,White Footwear designed for everyday wear with a modern fashion-forward look.,,White,,,,,White Footwear designed for everyday wear with a modern fashion-forward look.,White Footwear,,
AVIANA-06,AVIANA-06-BEIGE,Adult,Beige,,AVIANA-06-BEIGE.jpg,Beige Footwear,Women,"footwear, beige, shoes, fashion",Beige Footwear | Fashion Collection,The beige footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/beige-footwear,Beige Footwear | Fashion Collection,Beige Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Visible color: Beige,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The beige footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be,"footwear, beige, shoes, fashion",Beige Footwear | Fashion Collection,The beige footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Beige Footwear designed for everyday wear with a modern fashion-forward look.,The beige footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Beige Footwear designed for everyday wear with a modern fashion-forward look.,,Beige,,,,,Beige Footwear designed for everyday wear with a modern fashion-forward look.,Beige Footwear,,
AVIANA-06,AVIANA-06-BLACK,Adult,Black,,AVIANA-06-BLACK.jpg,Black Footwear,Women,"footwear, black, shoes, fashion",Black Footwear | Fashion Collection,The black footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/black-footwear,Black Footwear | Fashion Collection,Black Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Visible color: Black,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The black footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be,"footwear, black, shoes, fashion",Black Footwear | Fashion Collection,The black footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Black Footwear designed for everyday wear with a modern fashion-forward look.,The black footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Black Footwear designed for everyday wear with a modern fashion-forward look.,,Black,,,,,Black Footwear designed for everyday wear with a modern fashion-forward look.,Black Footwear,,
